"","x"
"1","11NPSWRD-TICA_BYU_CCD"
"2","11NPSWRD-TICA_BYU_CCH"
"3","11NPSWRD-TICA_BYU_CCS"
"4","11NPSWRD-TICA_BYU_COSD"
"5","11NPSWRD-TICA_BYU_COSL"
"6","11NPSWRD-TICA_BYU_HCD"
"7","11NPSWRD-TICA_BYU_HCL"
"8","11NPSWRD-TICA_BYU_HL"
"9","11NPSWRD-TICA_BYU_MCD"
"10","11NPSWRD-TICA_BYU_MCL"
"11","11NPSWRD-TICA_BYU_MCSD"
"12","11NPSWRD-TICA_NURE_0021"
"13","11NPSWRD-TICA_NURE_0022"
"14","11NPSWRD_WQX-TICA_3P_HCL"
"15","11NPSWRD_WQX-TICA_3P_MCP"
"16","11NPSWRD_WQX-TICA_3P_MCVA"
"17","11NPSWRD_WQX-TICA_TFD_AFRMP"
"18","11NPSWRD_WQX-TICA_TFD_AFRWS"
"19","11NPSWRD_WQX-TICA_TFD_SFAFC"
"20","CSC_WQX-1476"
"21","NALMS-7217"
"22","NALMS-7390"
"23","NALMS-7458"
"24","NARS-WUTP99-0723"
"25","NARS_WQX-WUTP99-0723"
"26","OST_SHPD-1476"
"27","USGS-09312600"
"28","USGS-09312700"
"29","USGS-10147000"
"30","USGS-10147100"
"31","USGS-10147500"
"32","USGS-10148200"
"33","USGS-10148400"
"34","USGS-10148500"
"35","USGS-10148510"
"36","USGS-10149000"
"37","USGS-10149400"
"38","USGS-10149500"
"39","USGS-10150500"
"40","USGS-10152000"
"41","USGS-10152500"
"42","USGS-10152700"
"43","USGS-10153100"
"44","USGS-10160800"
"45","USGS-10161500"
"46","USGS-10163000"
"47","USGS-10164500"
"48","USGS-10165500"
"49","USGS-10166430"
"50","USGS-10166605"
"51","USGS-382947109124601"
"52","USGS-394730112010001"
"53","USGS-394816112000301"
"54","USGS-394828112025301"
"55","USGS-394918111053201"
"56","USGS-394920111094201"
"57","USGS-394928111092301"
"58","USGS-394931112005801"
"59","USGS-394936110565600"
"60","USGS-394944111584601"
"61","USGS-394947111585101"
"62","USGS-395003110571201"
"63","USGS-395003111002501"
"64","USGS-395011111575001"
"65","USGS-395029111091501"
"66","USGS-395035110595001"
"67","USGS-395039111003401"
"68","USGS-395048111005501"
"69","USGS-395126112025601"
"70","USGS-395211111041001"
"71","USGS-395212111102601"
"72","USGS-395253110534501"
"73","USGS-395304111590701"
"74","USGS-395316111590001"
"75","USGS-395326111585001"
"76","USGS-395327111585500"
"77","USGS-395339111581800"
"78","USGS-395340111531001"
"79","USGS-395340111590001"
"80","USGS-395401112024701"
"81","USGS-395410111590801"
"82","USGS-395430111562501"
"83","USGS-395430111573601"
"84","USGS-395430111575201"
"85","USGS-395433111572001"
"86","USGS-395455111551501"
"87","USGS-395508111561001"
"88","USGS-395513111522701"
"89","USGS-395521111451000"
"90","USGS-395525111530001"
"91","USGS-395548111115300"
"92","USGS-395553111522601"
"93","USGS-395554111120300"
"94","USGS-395601111071500"
"95","USGS-395607111521701"
"96","USGS-395608111120000"
"97","USGS-395620111552401"
"98","USGS-395654109325401"
"99","USGS-395655111124800"
"100","USGS-395657111511900"
"101","USGS-395702111571001"
"102","USGS-395708111555800"
"103","USGS-395710111542201"
"104","USGS-395710111551301"
"105","USGS-395710111553501"
"106","USGS-395710111571801"
"107","USGS-395712111511900"
"108","USGS-395712111511901"
"109","USGS-395715111464701"
"110","USGS-395717111512000"
"111","USGS-395720111512100"
"112","USGS-395729111511501"
"113","USGS-395734111513001"
"114","USGS-395809111471501"
"115","USGS-395814111552501"
"116","USGS-395820111201500"
"117","USGS-395820111523001"
"118","USGS-395824111201600"
"119","USGS-395825111571800"
"120","USGS-395825111571801"
"121","USGS-395829111202100"
"122","USGS-395830111470001"
"123","USGS-395830111531801"
"124","USGS-395832111413101"
"125","USGS-395834111462101"
"126","USGS-395835111531201"
"127","USGS-395845111472800"
"128","USGS-395845111472801"
"129","USGS-395847111400001"
"130","USGS-395848111571801"
"131","USGS-395853111480501"
"132","USGS-395853111480701"
"133","USGS-395854111561201"
"134","USGS-395855111552201"
"135","USGS-395905111463301"
"136","USGS-395908111465001"
"137","USGS-395909111463501"
"138","USGS-395910111453801"
"139","USGS-395911111214900"
"140","USGS-395918111552501"
"141","USGS-395925111480501"
"142","USGS-395929111295200"
"143","USGS-395929111392701"
"144","USGS-395930111543501"
"145","USGS-395935111283500"
"146","USGS-395935111443001"
"147","USGS-395936111463101"
"148","USGS-395938111283300"
"149","USGS-395940111295000"
"150","USGS-395940111450001"
"151","USGS-395942111470801"
"152","USGS-395945111241200"
"153","USGS-395945111473001"
"154","USGS-395947111444800"
"155","USGS-395956111572101"
"156","USGS-400004111471001"
"157","USGS-400006111435501"
"158","USGS-400013111554001"
"159","USGS-400015111575301"
