"Name","Unit","Year","N","Mean_Value"
"(+/-)11-nor-9-carboxy-delta-THC","% recovery",2012,4,14928.75
"(+/-)11-nor-9-carboxy-delta-THC","% recovery",2013,2,7743
"(+/-)11-nor-9-carboxy-delta-THC","% recovery",2016,2,8767
"(+/-)11-nor-9-carboxy-delta-THC","ng/l",2012,7,1
"(+/-)11-nor-9-carboxy-delta-THC","ng/l",2013,9,1
"(+/-)11-nor-9-carboxy-delta-THC","ng/l",2014,5,1
"(+/-)11-nor-9-carboxy-delta-THC","ng/l",2015,1,1
"(+/-)11-nor-9-carboxy-delta-THC","ng/l",2016,4,1
"(1R,2S,5R)-Menthol","",2007,2,1
"(1R,2S,5R)-Menthol","",2008,10,1
"(1R,2S,5R)-Menthol","",2014,4,1
"(1R,2S,5R)-Menthol","",2015,2,1
"(1R,2S,5R)-Menthol","ng/l",2013,7,2134.85714285714
"(1R,2S,5R)-Menthol","ng/l",2014,5,1
"(1R,2S,5R)-Menthol","ug/l",2007,1,844
"(1R,2S,5R)-Menthol","ug/l",2008,2,959.5
"(1R,2S,5R)-Menthol","ug/l",2010,10,1
".alpha.-Endosulfan","",1988,13,1
".alpha.-Endosulfan","",1989,4,1
".alpha.-Endosulfan","",1999,2,1
".alpha.-Endosulfan","",2006,1,1
".alpha.-Endosulfan","",2007,3,1
".alpha.-Endosulfan","",2008,14,1
".alpha.-Endosulfan","",2010,1,1
".alpha.-Endosulfan","",2011,1,1
".alpha.-Endosulfan","ug/l",1986,3,1
".alpha.-Endosulfan","ug/l",1987,3,1
".alpha.-Endosulfan","ug/l",1988,6,1
".alpha.-Endosulfan","ug/l",1989,10,41.2
".alpha.-Endosulfan","ug/l",1990,6,172.666666666667
".alpha.-Endosulfan","ug/l",1991,2,1
".alpha.-Endosulfan","ug/l",1992,1,1
".alpha.-Endosulfan","ug/l",2006,2,1
".alpha.-HCH-d6","%",1998,14,13487.7142857143
".alpha.-HCH-d6","%",1999,4,14091.75
".alpha.-HCH-d6","%",2000,12,13914.5
".alpha.-HCH-d6","%",2003,4,14803.25
".alpha.-HCH-d6","%",2004,2,15006
".alpha.-HCH-d6","%",2006,1,2585
".alpha.-HCH-d6","%",2007,3,14614.6666666667
".alpha.-HCH-d6","%",2008,14,13892
".alpha.-HCH-d6","%",2010,1,14508
".alpha.-HCH-d6","%",2011,1,15143
".alpha.-Hexachlorocyclohexane","",1998,14,1
".alpha.-Hexachlorocyclohexane","",1999,4,1
".alpha.-Hexachlorocyclohexane","",2000,12,1
".alpha.-Hexachlorocyclohexane","",2003,4,1
".alpha.-Hexachlorocyclohexane","",2004,2,1
".alpha.-Hexachlorocyclohexane","ug/l",1987,3,1
".alpha.-Hexachlorocyclohexane","ug/l",1988,6,1
".alpha.-Hexachlorocyclohexane","ug/l",1989,10,1
".alpha.-Hexachlorocyclohexane","ug/l",1990,5,1
".alpha.-Hexachlorocyclohexane","ug/l",1991,2,1
".alpha.-Hexachlorocyclohexane","ug/l",1992,1,1
".alpha.-Hexachlorocyclohexane","ug/l",2006,2,1
".alpha.-Terpineol","",2013,1,1
".alpha.-Terpineol","",2015,5,1
".alpha.-Terpineol","",2017,1,1
".alpha.-Terpineol","ug/kg",2002,2,1
".alpha.,.alpha.-Dimethylphenethylamine","% recovery",2013,2,7109
".alpha.,.alpha.-Dimethylphenethylamine","% recovery",2016,2,14561
".alpha.,.alpha.-Dimethylphenethylamine","ng/l",2013,9,1
".alpha.,.alpha.-Dimethylphenethylamine","ng/l",2014,5,1
".alpha.,.alpha.-Dimethylphenethylamine","ng/l",2015,1,1
".alpha.,.alpha.-Dimethylphenethylamine","ng/l",2016,4,1
".beta.-Endosulfan","ug/l",1987,3,1
".beta.-Endosulfan","ug/l",1988,6,1
".beta.-Endosulfan","ug/l",1989,10,37.7
".beta.-Endosulfan","ug/l",1990,5,1
".beta.-Endosulfan","ug/l",1991,2,1
".beta.-Endosulfan","ug/l",1992,1,1
".beta.-Endosulfan","ug/l",2006,2,1
".beta.-Hexachlorocyclohexane","",1999,4,1
".beta.-Hexachlorocyclohexane","ug/l",1986,3,182
".beta.-Hexachlorocyclohexane","ug/l",1987,3,1
".beta.-Hexachlorocyclohexane","ug/l",1988,6,1
".beta.-Hexachlorocyclohexane","ug/l",1989,10,1
".beta.-Hexachlorocyclohexane","ug/l",1990,5,1
".beta.-Hexachlorocyclohexane","ug/l",1991,2,1
".beta.-Hexachlorocyclohexane","ug/l",1992,1,1
".beta.-Hexachlorocyclohexane","ug/l",2006,2,1
".beta.-Sitosterol","",2007,2,1
".beta.-Sitosterol","",2008,12,1
".beta.-Sitosterol","",2014,4,1
".beta.-Sitosterol","",2015,2,1
".delta.-Hexachlorocyclohexane","",1999,2,1
".delta.-Hexachlorocyclohexane","ug/l",1987,3,1
".delta.-Hexachlorocyclohexane","ug/l",1988,6,1
".delta.-Hexachlorocyclohexane","ug/l",1989,10,1
".delta.-Hexachlorocyclohexane","ug/l",1990,5,1
".delta.-Hexachlorocyclohexane","ug/l",1991,2,1
".delta.-Hexachlorocyclohexane","ug/l",1992,1,1
".delta.-Hexachlorocyclohexane","ug/l",2006,2,1
".lambda.-Cyhalothrin","",2006,1,1
".lambda.-Cyhalothrin","",2007,3,1
".lambda.-Cyhalothrin","",2008,14,1
".lambda.-Cyhalothrin","",2010,1,1
".lambda.-Cyhalothrin","",2011,1,1
"1-(3,4-dichlorophenyl)-3-methyl urea","",2013,1,1
"1-(3,4-dichlorophenyl)-3-methyl urea","",2015,5,1
"1-(3,4-dichlorophenyl)-3-methyl urea","",2017,1,1
"1-(Aminomethyl)cyclohexaneacetic acid","",2017,1,1
"1-(Aminomethyl)cyclohexaneacetic acid","% recovery",2013,2,7996.5
"1-(Aminomethyl)cyclohexaneacetic acid","% recovery",2016,2,14407
"1-(Aminomethyl)cyclohexaneacetic acid","ng/l",2013,9,1
"1-(Aminomethyl)cyclohexaneacetic acid","ng/l",2014,5,1
"1-(Aminomethyl)cyclohexaneacetic acid","ng/l",2015,1,1
"1-(Aminomethyl)cyclohexaneacetic acid","ng/l",2016,4,1
"1-Bromo-3-chloropropane-d6","%",2013,1,14447
"1-Bromo-3-chloropropane-d6","%",2015,5,9682
"1-Bromo-3-chloropropane-d6","%",2017,1,13771
"1-Butanol","",2013,1,1
"1-Butanol","",2015,5,1
"1-Butanol","",2017,1,1
"1-Chloro-1,1-difluoroethane","",2013,1,1
"1-Chloro-1,1-difluoroethane","",2015,5,1
"1-Chloro-1,1-difluoroethane","",2017,1,1
"1-Methoxy-4-(2-propenyl)benzene","",2013,1,1
"1-Methoxy-4-(2-propenyl)benzene","",2015,5,1
"1-Methoxy-4-(2-propenyl)benzene","",2017,1,1
"1-Methylfluorene","",1999,2,1
"1-Methylnaphthalene","",2007,3,1
"1-Methylnaphthalene","",2008,12,1
"1-Methylnaphthalene","",2014,4,1
"1-Methylnaphthalene","",2015,2,1
"1-Methylnaphthalene","ng/l",2013,7,1
"1-Methylnaphthalene","ng/l",2014,5,1
"1-Methylnaphthalene","ug/l",2010,10,1
"1-Methylphenanthrene","",1999,2,1
"1-Methylpyrene","",1999,2,1
"1-Naphthol","",2006,1,1
"1-Naphthol","",2007,3,1
"1-Naphthol","",2008,14,1
"1-Naphthol","",2010,1,1
"1-Naphthol","",2011,1,1
"1-Octanol","",2013,1,1
"1-Octanol","",2015,5,1
"1-Octanol","",2017,1,1
"1-Phenethyl-4-(phenylpropionylamino)piperidine","% recovery",2012,4,8661.5
"1-Phenethyl-4-(phenylpropionylamino)piperidine","% recovery",2013,2,7566.5
"1-Phenethyl-4-(phenylpropionylamino)piperidine","ng/l",2012,8,1
"1-Phenethyl-4-(phenylpropionylamino)piperidine","ng/l",2013,9,1
"1-Phenethyl-4-(phenylpropionylamino)piperidine","ng/l",2014,5,1
"1-Phenethyl-4-(phenylpropionylamino)piperidine","ng/l",2015,1,1
"1,1-Dichloroethane","",1989,5,1
"1,1-Dichloroethane","",1998,13,1
"1,1-Dichloroethane","",2003,4,1
"1,1-Dichloroethane","",2004,2,1
"1,1-Dichloroethane","",2006,1,1
"1,1-Dichloroethane","",2007,3,1
"1,1-Dichloroethane","",2008,14,1
"1,1-Dichloroethane","",2010,1,1
"1,1-Dichloroethane","",2011,1,1
"1,1-Dichloroethane","",2013,1,1
"1,1-Dichloroethane","",2015,5,1
"1,1-Dichloroethane","",2017,1,1
"1,1-Dichloroethane","ug/l",1990,3,1
"1,1-Dichloroethane","ug/l",1991,4,1
"1,1-Dichloroethane","ug/l",1993,2,1
"1,1-Dichloroethane","ug/l",1995,1,1
"1,1-Dichloroethane","ug/l",2001,1,1
"1,1-Dichloroethane","ug/l",2007,1,1
"1,1-Dichloroethane","ug/l",2008,1,1
"1,1-Dichloroethane","ug/l",2012,1,1
"1,1-Dichloroethylene","",1989,5,1
"1,1-Dichloroethylene","",1998,13,1
"1,1-Dichloroethylene","",2003,4,1
"1,1-Dichloroethylene","",2004,2,1
"1,1-Dichloroethylene","",2006,1,1
"1,1-Dichloroethylene","",2007,3,1
"1,1-Dichloroethylene","",2008,14,1
"1,1-Dichloroethylene","",2010,1,1
"1,1-Dichloroethylene","",2011,1,1
"1,1-Dichloroethylene","",2013,1,1
"1,1-Dichloroethylene","",2015,5,1
"1,1-Dichloroethylene","",2017,1,1
"1,1-Dichloroethylene","ug/l",1990,3,1
"1,1-Dichloroethylene","ug/l",1991,4,1
"1,1-Dichloroethylene","ug/l",1993,2,1
"1,1-Dichloroethylene","ug/l",1995,1,1
