"","Name","Unit","Year","N","Mean_Value","Characteristic","Description"
"1",".alpha.-Endosulfan","",1988,13,1,".alpha.-Endosulfan","Poison"
"2",".alpha.-Endosulfan","",1989,4,1,".alpha.-Endosulfan","Poison"
"3",".alpha.-Endosulfan","",1999,2,1,".alpha.-Endosulfan","Poison"
"4",".alpha.-Endosulfan","",2006,1,1,".alpha.-Endosulfan","Poison"
"5",".alpha.-Endosulfan","",2007,3,1,".alpha.-Endosulfan","Poison"
"6",".alpha.-Endosulfan","",2008,14,1,".alpha.-Endosulfan","Poison"
"7",".alpha.-Endosulfan","",2010,1,1,".alpha.-Endosulfan","Poison"
"8",".alpha.-Endosulfan","",2011,1,1,".alpha.-Endosulfan","Poison"
"9",".alpha.-Endosulfan","ug/l",1986,3,1,".alpha.-Endosulfan","Poison"
"10",".alpha.-Endosulfan","ug/l",1987,3,1,".alpha.-Endosulfan","Poison"
"11",".alpha.-Endosulfan","ug/l",1988,6,1,".alpha.-Endosulfan","Poison"
"12",".alpha.-Endosulfan","ug/l",1989,10,41.2,".alpha.-Endosulfan","Poison"
"13",".alpha.-Endosulfan","ug/l",1990,6,172.666666666667,".alpha.-Endosulfan","Poison"
"14",".alpha.-Endosulfan","ug/l",1991,2,1,".alpha.-Endosulfan","Poison"
"15",".alpha.-Endosulfan","ug/l",1992,1,1,".alpha.-Endosulfan","Poison"
"16",".alpha.-Endosulfan","ug/l",2006,2,1,".alpha.-Endosulfan","Poison"
"17",".alpha.-Hexachlorocyclohexane","",1998,14,1,".alpha.-Hexachlorocyclohexane","Poison"
"18",".alpha.-Hexachlorocyclohexane","",1999,4,1,".alpha.-Hexachlorocyclohexane","Poison"
"19",".alpha.-Hexachlorocyclohexane","",2000,12,1,".alpha.-Hexachlorocyclohexane","Poison"
"20",".alpha.-Hexachlorocyclohexane","",2003,4,1,".alpha.-Hexachlorocyclohexane","Poison"
"21",".alpha.-Hexachlorocyclohexane","",2004,2,1,".alpha.-Hexachlorocyclohexane","Poison"
"22",".alpha.-Hexachlorocyclohexane","ug/l",1987,3,1,".alpha.-Hexachlorocyclohexane","Poison"
