"","Activity.Date","Subject.Taxonomic.Name","Sample.Tissue.Anatomy.Name","Group.Summary.Count","Group.Summary.Unit","Trophic.Level.Name","Functional.Feeding.Group","Monitoring.Location.Identifier"
"2996",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"2997",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"2998",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"2999",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3000",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3001",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3002",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3003",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3004",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3005",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3006",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3007",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3008",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3009",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3010",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3011",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3012",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3013",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3014",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3015",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3016",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3017",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3018",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3019",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3020",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3021",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3022",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3023",2016-10-25,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_SFAFC"
"3552",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3553",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3554",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3555",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3556",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3557",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3558",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3559",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3560",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3561",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3562",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3563",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"3564",2016-09-13,"Animalia","Whole Organism",NA,"",NA,"","11NPSWRD_WQX-TICA_TFD_AFRMP"
"144244",2006-09-29,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144245",2006-09-29,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144246",2006-09-29,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144247",2006-09-29,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144248",2006-09-29,"Salmo trutta","Fish Fillet, Homog., Skin Off",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144249",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144250",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144251",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144252",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144253",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144254",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144255",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144256",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
"144257",2006-09-29,"Salmo trutta","",NA,"",NA,"","UTAHDWQ_WQX-4995597"
