OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,RBP Stream width,,16.6,ft,,Preliminary,,Actual,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,"Temperature, water",,10.4,deg C,,Preliminary,,Actual,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,"Stream flow, instantaneous",,8.4,ft3/s,,Preliminary,,Actual,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QSCMM,USGS,"Disch., meas., midsection",,USGS TWRI 3-A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,"Height, gage",,5.94,ft,,Preliminary,,Actual,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,Specific conductance,Total,514,uS/cm @25C,,Preliminary,,Actual,,,25 deg C,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC001,USGS,Specific conductance sensor,,"USGS National Field Manual, Chapter A6.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,"Stream flow, instantaneous",,0.24,m3/sec,,Preliminary,,Actual,,,,,,,,,,,30209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802122,Sample-Routine,Water,Surface Water,9/24/2018,12:28:00,MDT,,,,,0.5,feet,,,,,,,U.S. Geological Survey,USGS-10164500,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,Gage height,,1.81,m,,Preliminary,,Actual,,,,,,,,,,,30207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802096,Sample-Routine,Water,Surface Water,9/19/2018,8:59:00,MDT,,,,,1,feet,,,,,,,U.S. Geological Survey,USGS-10153100,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,RBP Stream width,,18,ft,,Preliminary,,Actual,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802096,Sample-Routine,Water,Surface Water,9/19/2018,8:59:00,MDT,,,,,1,feet,,,,,,,U.S. Geological Survey,USGS-10153100,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,"Temperature, water",,14.5,deg C,,Preliminary,,Actual,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-UT,USGS Utah Water Science Center,nwisut.01.01802096,Sample-Routine,Water,Surface Water,9/19/2018,8:59:00,MDT,,,,,1,feet,,,,,,,U.S. Geological Survey,USGS-10153100,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,USGS,USGS,,,Unknown,,,,,,,,,,,,,,,"Stream flow, instantaneous",,9.5,ft3/s,,Preliminary,,Actual,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QSCMM,USGS,"Disch., meas., midsection",,USGS TWRI 3-A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
